Name,wDeg,deg,wPageRank,pageRank,wEig,eig,com,lCom
AK,4850567,369,0.0103414920539488,0.0110241196617003,0.00548462301416942,0.00385537070753487,1,8
AL,808021,267,0.00402617461857183,0.00775061321983946,5.24685381938113e-06,0.00264109077355574,2,1
AR,2578157,635,0.0132693810802456,0.0210054309541474,0.000463372996241841,0.00545712888266308,2,2
AZ,534187,175,0.00250482195361773,0.0050850828255328,5.214812411408e-06,0.0019505491596029,2,8
CA,8134963,635,0.0231012662815934,0.0244343456504304,0.0102944828743184,0.00502879927627079,1,9
CO,33173846,549,0.0453397145571498,0.0176952040358633,0.0965004508491981,0.00518768155857978,1,3
CT,4262554,261,0.00806252418494953,0.00807215679881051,0.0183257386187571,0.00264893410516077,1,7
DE,2540496,374,0.00652841939147956,0.0106327800579329,0.00447906523014989,0.00411563927831389,1,7
FL,5872588,462,0.0145820539530994,0.0158507289201658,0.00400223503496273,0.00426026941833457,1,4
GA,1704085,386,0.00781800532311666,0.0116818747758929,2.93835099268406e-06,0.00376528786999377,2,6
HI,449565,154,0.00259382070007572,0.00482417713649733,1.7818708770122e-06,0.00141625729458984,2,10
IA,1545061,512,0.00849926685585283,0.0158564922141188,9.38893757643317e-05,0.00468621284227227,2,1
ID,1028397,355,0.00508775737090811,0.0103072463416107,5.77398206789288e-06,0.00377142546207237,2,1
IL,25526391,513,0.0354518147775105,0.0164032482412046,0.0849157302989637,0.00500220906107075,1,11
IN,1838100,520,0.00871894161254805,0.0159142989406788,0.000159004707192743,0.00528959255937555,2,2
KS,786992,254,0.00421927825490763,0.00782725443640175,5.91596932216935e-06,0.0026323993644606,2,2
KY,10095846,305,0.0147928601127377,0.00906424358815433,0.0297642407931746,0.00340530291869924,1,11
LA,1379078,379,0.0065826854673189,0.0115246948150754,7.75120632094744e-06,0.00390685255563441,2,6
MA,308623,103,0.00223834230608536,0.00375177170442373,5.78637688814218e-07,0.000879279703644452,1,5
MD,565925,201,0.00300370911460173,0.00612182410301156,2.30030703308917e-06,0.00205666288335076,2,10
MO,13518723,641,0.0252173601954185,0.0200651114700533,0.0211274226276097,0.00627970307955974,1,5
NC,2150120,594,0.0101013519320493,0.0181243400609253,6.73149955560534e-05,0.00559117516383291,2,6
ND,1223489,391,0.00591636190225528,0.0116632324222456,6.90959065451695e-06,0.00395820820914844,2,8
NH,2530184,407,0.00724279401693552,0.0118052797544059,0.00115302510305591,0.00451956672731868,1,11
NV,17944788,737,0.0331341005104221,0.0248339220227884,0.0350452918537626,0.00593321751937401,1,7
NY,2013615,504,0.0108022727731007,0.0164488185788505,4.38821493170874e-05,0.00431505716546479,2,7
OH,4781689,619,0.0145294182395226,0.019444163794218,0.00237267461674391,0.00602984738810327,1,11
OK,511864,180,0.00220126760936768,0.00496175091375929,7.52232440917141e-06,0.00214257860435022,2,6
OR,883989,320,0.00486422993067801,0.00983239579254727,2.36785067123197e-06,0.00302402574861608,2,7
PA,32811491,691,0.0485726787119121,0.0234435025425392,0.104827412013836,0.0060402256417054,1,11
SC,588878,232,0.00281383125121946,0.0065752825851571,6.19810293533805e-06,0.00255913440863815,2,6
SD,925917,327,0.00434041767407785,0.00930454935154137,3.78118273147815e-06,0.00346416384306582,2,6
UT,995913,283,0.00405725213124788,0.00792132003444918,8.90226161013999e-06,0.00331064703620012,2,1
VT,483735,153,0.00224571339539593,0.00450148684989896,8.91321823639639e-05,0.00155628886746945,2,7
WA,22789846,556,0.0331193103697874,0.0178114678748188,0.0638362700520749,0.00520599772509797,1,10
WI,3281481,392,0.00859736162127542,0.0117711849101514,0.0012184284547813,0.00427517486220891,1,11
WV,12072805,273,0.0162171013052348,0.00803391664125376,0.0510937185300035,0.00288606097630065,1,11
